MãCK	Giá Trần	Giá Sàn	Giá TC	Dư Mua	Dư Mua	Dư Mua	Dư Mua	Dư Mua	Dư Mua	Giá Khớp	KL Khớp	+/-	Dư Bán	Dư Bán	Dư Bán	Dư Bán	Dư Bán	Dư Bán	Khối Lượng  	Mở cửa	Cao nhất	Thấp nhất	NN Mua	NN Bán
				Giá 3	KL3	Giá 2	KL2	Giá 1	KL1				Giá 1	KL1	Giá 2	KL2	Giá3	KL3						
VPB	30.20	26.30	28.25	28.90	203,800	28.95	52,300	29.00	63,800	29.05	1,000	0.80	29.05	35,700	29.10	35,100	29.15	29,100	12,810,900	28.50	28.95	28.15	1,942,600	374,500
HPG	28	24.40	26.20	26.55	647,300	26.60	679,700	26.65	58,500	26.65	3,000	0.45	26.70	748,900	26.75	954,200	26.80	1,128,800	15,915,200	26.35	26.75	26.35	1,667,200	738,439
SHB	17.65	15.35	16.50	16.70	585,400	16.75	4,265,300	16.80	1,933,300	16.85	1,400	0.35	16.85	15,400	16.90	1,600,600	16.95	3,120,000	27,034,000	16.45	16.90	16.40	2,696,900	72,200
HSG	16.65	14.55	15.60	15.85	64,100	15.90	89,100	15.95	6,500	16.00	100	0.40	16	118,100	16.05	49,400	16.10	42,800	1,455,800	15.60	15.95	15.60	344,839	17,200
POW	15.40	13.40	14.40	14.25	66,300	14.30	108,000	14.35	185,100	14.35	5,000	-0.05	14.40	102,100	14.45	147,500	14.50	158,600	7,752,600	14.55	14.75	14	67,807	1,305,000
VIX	22.85	19.95	21.40	22.70	208,800	22.75	285,200	22.80	1,454,700	22.85	500	1.45	22.85	1,395,800	0	0	0	0	45,982,800	21.60	22.85	21.45	3,199,500	3,811,800
MBB	29.20	25.40	27.30	27.85	270,600	27.90	336,000	27.95	186,200	28.00	200	0.70	28.00	3,700	28.05	455,100	28.10	860,000	25,596,000	27.55	28.15	27.55	2,694,000	1,479,000
GEX	41.95	36.55	39.25	39.80	72,000	39.85	9,400	39.90	1,800	39.95	600	0.70	39.95	2,700	40.00	53,100	40.05	14,900	5,180,500	39.35	40.50	38.05	1,054,702	683,000
VRE	37.45	32.55	35	33.45	2,000	33.50	157,800	33.55	50,000	33.55	1,600	-1.45	33.60	44,400	33.65	95,200	33.70	27,800	5,799,000	34.50	35	33.70	427,602	1,810,200
VND	20.65	17.95	19.30	20.55	39,400	20.60	110,900	20.65	1,367,100	20.65	7,000	1.35	0	0	0	0	0	0	21,032,400	19.30	20.65	19.30	1,967,800	967,000
TCB	39.20	34.10	36.65	37.20	128,100	37.25	168,200	37.30	98,300	37.30	300	0.65	37.35	261,600	37.40	202,400	37.45	158,000	7,900,400	36.70	37.60	36.45	14,600	200
SSI	32.45	28.25	30.35	32.35	223,900	32.40	354,200	32.45	10,907,300	32.45	100	2.10	0	0	0	0	0	0	40,749,000	30.45	32.45	30.45	2,978,910	1,537,600
TCH	17.05	14.85	15.95	16.15	8,900	16.20	62,900	16.25	32,400	16.25	3,700	0.30	16.30	69,500	16.35	36,200	16.40	99,500	3,272,700	15.95	16.40	15.50	648,200	739,763
STB	55.40	48.20	51.80	53.10	264,500	53.20	86,700	53.30	23,900	53.30	1,000	1.50	53.40	92,600	53.50	98,400	53.60	88,800	8,085,900	51.50	53.60	51.10	648,400	1,554,300
DIG	17.10	14.90	16	16.35	36,000	16.40	105,800	16.45	8,400	16.45	200	0.45	16.50	229,700	16.55	64,800	16.60	120,000	7,158,600	16	16.65	15.60	761,107	548,000
BSR	21.05	18.35	19.70	19.80	52,800	19.85	1,100	19.90	14,200	19.90	200	0.20	19.95	40,600	20	99,600	20.05	39,600	12,370,700	20.10	20.85	19.05	751,256	1,700,370
HAG	17.75	15.45	16.60	16.60	125,200	16.65	99,600	16.70	68,900	16.75	1,000	0.15	16.75	11,800	16.80	60,000	16.85	59,300	3,318,600	16.50	16.75	16.40	270,300	13,500
HDB	29.85	25.95	27.90	28.00	183,900	28.05	171,400	28.10	98,500	28.10	10,000	0.20	28.15	178,900	28.20	156,400	28.25	190,600	7,835,700	27.70	28.35	27.25	1,071,560	841,700
NVL	13.40	11.70	12.55	12.50	145,300	12.55	89,400	12.60	58,500	12.60	10,000	0.05	12.65	87,500	12.70	10,100	12.75	41,100	4,959,300	12.60	12.80	12.20	394,502	1,977,300
CTG	43.60	37.90	40.75	42.60	43,200	42.65	45,500	42.70	59,500	42.70	2,000	1.95	42.75	33,900	42.80	28,000	42.85	46,700	17,594,800	42	43.50	41.35	247,111	2,860,600
